County,Total Ballots,Total Asian,Total American Indian,Total Black,Total Federally Registered,Total Hispanic,Total Korean,Total Other,Total White,Total Not Identified
Baldwin,110922,524,445,6670,1,1065,0,727,101146,344
Clarke,13239,22,22,5460,0,25,0,29,7664,17
Conecuh,5709,15,11,2558,0,14,0,11,3092,8
Escambia,15958,35,352,4143,0,60,0,51,11297,20
Mobile,184949,1479,567,61924,1,1198,0,1372,117748,660
Monroe,10693,19,47,4147,0,15,0,21,6439,5
Washington,8919,7,394,1952,0,17,0,15,6529,4
Total (All of Alabama),2324919,14531,6483,562519,960,20478,15,14434,1695644,9855
