County,Total Ballots Cast,Age 18 - 29,Age 30 -39,Age 40 - 49,Age 50 - 59,Age 60 - 69,Age 70 - 79,Age 80 - 89,Age 90 -99,Age 100+
Baldwin,110922,10689,13025,15928,20071,23641,19520,7024,1002,22
Clarke,13239,1795,1618,1976,2514,2585,1810,814,122,5
Conecuh,5709,599,623,799,1040,1306,905,370,65,2
Escambia,15958,1829,2048,2437,2847,3166,2393,1051,179,8
Mobile,184949,24759,26628,28595,33124,36116,24874,9221,1576,56
Monroe,10693,1356,1203,1554,1999,2304,1558,599,114,6
Washington,8918,1129,1122,1234,1732,1804,1309,510,75,3
Total (All of Alabama),2324919,313850,327043,357574,429025,447814,312103,117114,19754,642
