County,Total Ballots Cast,Total Femal,Total Male,Total Not Identified
Baldwin,110922,60724,50049,149
Clarke,13239,7436,5769,34
Conecuh,5709,3209,2499,1
Escambia,15958,9096,6849,13
Mobile,184949,105683,78975,291
Monroe,10693,5964,4728,1
Washington,8918,4828,4088,2
Total (All of Alabama),2324919,1293059,1029591,2269
