FIPS Code,State,Area name,Attribute,Value
1001,AL,Autauga County,2013 Urban Influence Code,2.0
1001,AL,Autauga County,2024 Urban Influence Code,4.0
1001,AL,Autauga County,2013 Rural-urban Continuum Code,2.0
1001,AL,Autauga County,2023 Rural-urban Continuum Code,2.0
1001,AL,Autauga County,"Less than a high school diploma, 1970",6611.0
1001,AL,Autauga County,"High school diploma only, 1970",3757.0
1001,AL,Autauga County,"Some college (1-3 years), 1970",933.0
1001,AL,Autauga County,"Four years of college or higher, 1970",767.0
1001,AL,Autauga County,"Percent of adults with less than a high school diploma, 1970",54.8
1001,AL,Autauga County,"Percent of adults with a high school diploma only, 1970",31.1
1001,AL,Autauga County,"Percent of adults completing some college (1-3 years), 1970",7.7
1001,AL,Autauga County,"Percent of adults completing four years of college or higher, 1970",6.4
1001,AL,Autauga County,"Less than a high school diploma, 1980",7074.0
1001,AL,Autauga County,"High school diploma only, 1980",6145.0
1001,AL,Autauga County,"Some college (1-3 years), 1980",2104.0
1001,AL,Autauga County,"Four years of college or higher, 1980",2117.0
1001,AL,Autauga County,"Percent of adults with less than a high school diploma, 1980",40.6
1001,AL,Autauga County,"Percent of adults with a high school diploma only, 1980",35.2
1001,AL,Autauga County,"Percent of adults completing some college (1-3 years), 1980",12.1
1001,AL,Autauga County,"Percent of adults completing four years of college or higher, 1980",12.1
1001,AL,Autauga County,"Less than high school graduate, 1990",6252.0
1001,AL,Autauga County,"High school graduate (or equivalency), 1990",6671.0
1001,AL,Autauga County,"Some college or associate degree, 1990",4912.0
1001,AL,Autauga County,"Bachelor's degree or higher, 1990",3026.0
1001,AL,Autauga County,"Percent of adults who are not high school graduates, 1990",30.0
1001,AL,Autauga County,"Percent of adults who are high school graduates (or equivalent), 1990",32.0
1001,AL,Autauga County,"Percent of adults completing some college or associate degree, 1990",23.5
1001,AL,Autauga County,"Percent of adults with a bachelor's degree or higher, 1990",14.5
1001,AL,Autauga County,"Less than high school graduate, 2000",5872.0
1001,AL,Autauga County,"High school graduate (or equivalency), 2000",9332.0
1001,AL,Autauga County,"Some college or associate degree, 2000",7413.0
1001,AL,Autauga County,"Bachelor's degree or higher, 2000",4972.0
1001,AL,Autauga County,"Percent of adults who are not high school graduates, 2000",21.3
1001,AL,Autauga County,"Percent of adults who are high school graduates (or equivalent), 2000",33.8
1001,AL,Autauga County,"Percent of adults completing some college or associate degree, 2000",26.9
1001,AL,Autauga County,"Percent of adults with a bachelor's degree or higher, 2000",18.0
1001,AL,Autauga County,"Less than high school graduate, 2008-12",5232.0
1001,AL,Autauga County,"High school graduate (or equivalency), 2008-12",11874.0
1001,AL,Autauga County,"Some college or associate degree, 2008-12",10409.0
1001,AL,Autauga County,"Bachelor's degree or higher, 2008-12",7629.0
1001,AL,Autauga County,"Percent of adults who are not high school graduates, 2008-12",14.88732074
1001,AL,Autauga County,"Percent of adults who are high school graduates (or equivalent), 2008-12",33.78670612
1001,AL,Autauga County,"Percent of adults completing some college or associate degree, 2008-12",29.6181425
1001,AL,Autauga County,"Percent of adults with a bachelor's degree or higher, 2008-12",21.70783064
1001,AL,Autauga County,"Less than high school graduate, 2019-23",3963.0
1001,AL,Autauga County,"High school graduate (or equivalency), 2019-23",13321.0
1001,AL,Autauga County,"Some college or associate degree, 2019-23",11953.0
1001,AL,Autauga County,"Bachelor's degree or higher, 2019-23",11530.0
1001,AL,Autauga County,"Percent of adults who are not high school graduates, 2019-23",9.721097947
1001,AL,Autauga County,"Percent of adults who are high school graduates (or equivalent), 2019-23",32.67593887
1001,AL,Autauga County,"Percent of adults completing some college or associate degree, 2019-23",29.32028356
1001,AL,Autauga County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.28267962
1003,AL,Baldwin County,2013 Urban Influence Code,2.0
1003,AL,Baldwin County,2024 Urban Influence Code,4.0
1003,AL,Baldwin County,2013 Rural-urban Continuum Code,3.0
1003,AL,Baldwin County,2023 Rural-urban Continuum Code,3.0
1003,AL,Baldwin County,"Less than a high school diploma, 1970",18726.0
1003,AL,Baldwin County,"High school diploma only, 1970",8426.0
1003,AL,Baldwin County,"Some college (1-3 years), 1970",2334.0
1003,AL,Baldwin County,"Four years of college or higher, 1970",2038.0
1003,AL,Baldwin County,"Percent of adults with less than a high school diploma, 1970",59.4
1003,AL,Baldwin County,"Percent of adults with a high school diploma only, 1970",26.7
1003,AL,Baldwin County,"Percent of adults completing some college (1-3 years), 1970",7.4
1003,AL,Baldwin County,"Percent of adults completing four years of college or higher, 1970",6.5
1003,AL,Baldwin County,"Less than a high school diploma, 1980",18125.0
1003,AL,Baldwin County,"High school diploma only, 1980",15380.0
1003,AL,Baldwin County,"Some college (1-3 years), 1980",6602.0
1003,AL,Baldwin County,"Four years of college or higher, 1980",5498.0
1003,AL,Baldwin County,"Percent of adults with less than a high school diploma, 1980",39.7
1003,AL,Baldwin County,"Percent of adults with a high school diploma only, 1980",33.7
1003,AL,Baldwin County,"Percent of adults completing some college (1-3 years), 1980",14.5
1003,AL,Baldwin County,"Percent of adults completing four years of college or higher, 1980",12.1
1003,AL,Baldwin County,"Less than high school graduate, 1990",17309.0
1003,AL,Baldwin County,"High school graduate (or equivalency), 1990",20544.0
1003,AL,Baldwin County,"Some college or associate degree, 1990",15900.0
1003,AL,Baldwin County,"Bachelor's degree or higher, 1990",10870.0
1003,AL,Baldwin County,"Percent of adults who are not high school graduates, 1990",26.8
1003,AL,Baldwin County,"Percent of adults who are high school graduates (or equivalent), 1990",31.8
