component,explained_variance_ratio,cumulative_variance
PC1,0.5476140325431372,0.5476140325431372
PC2,0.27364594556482585,0.821259978107963
PC3,0.13904794323061012,0.9603079213385731
PC4,0.03969207866142663,0.9999999999999998
