,PC1,PC2,PC3,PC4,PC5,PC6,PC7
poverty_rate,0.3812818768213469,-0.46580963813911536,-0.4096785008639436,-0.03522379736880452,-0.12186241857852077,0.6271499762619236,-0.24576570075165685
unemployment_rate,0.34144740936743223,0.7584199698034803,0.1084386445753621,0.01780387114524335,-0.25267963970955565,0.4480536512963157,0.17758891804036592
median_income,0.41869152725675063,-0.16439489858113204,-0.3192448096266231,-0.1490253614710036,-0.1807369885161304,-0.3457289599853451,0.7220467732068185
pct_less_hs,0.3281229503227428,-0.2689484746624713,0.7131366179977475,-0.4297203235251384,-0.31867745864125846,-0.07443292763065665,-0.1402963709676508
non_white_share,0.3920478901773625,0.31706517846298266,-0.3403233300550431,-0.37037318244490475,0.20358016333136858,-0.4138046520816671,-0.5292378370573471
rural_urban_code,0.36549499573503,-0.051466992963003055,0.08690093518071391,0.792611988241782,-0.2781905253646488,-0.30648238306939507,-0.23802857129674238
broadband_access_rate,0.4096124893346128,-0.07268003136217777,0.2941968055140808,0.1617533099509699,0.8174634656336794,0.12528494374889698,0.17400141721124085
